f,Customer Rating,room name,room categories,locations,net_cp,net_map,net_ap,net_cp_kid,net_map_kid,hotel_email
Havelock Island Beach Resort,1,Green Imperial,,Havelock Island,2200,,,2360,2360,
Symphony Summer Sands,1,The Beach Mansion,Deluxe,Neil Island,27250,29150,31050,2950,2950,
Silver Sand Beach Resorts,1,Neil Exotica,,Neil Island,16048,18054,20060,2000,2000,
Silver Sand Neil Resort,1,Neil Exotica,,Neil Island,20058,22064,24070,2000,2000,
Aquays Hotels & Resorts,1,Vinsons Sea Villa,,Neil Island,14000,15800,17600,1800,1800,
Symphony Summer Sands,1,Neil Ocean Suite,Premium,Neil Island,13250,15150,17050,2950,2950,
Sea Shell Samssara,1,Seashell Lagoon Pool View,,Neil Island,10856,14396,17936,2360,2360,
Silver Sand Beach Resorts,1,Luxury Bliss,,Neil Island,9440,11446,13452,2000,2000,
Silver Sand Neil Resort,1,Luxury Bliss,,Neil Island,11798,13804,15810,2000,2000,
Sea Shell Samssara,1,Seashell Lagoon Garden View,,Neil Island,8968,12508,16048,2360,2360,
SeaShell,1,Neil Lagoon,,Neil Island,8496,,,2360,2360,
Aquays Hotels & Resorts,1,Crane Sea Villa,,Neil Island,7500,9300,11100,1800,1800,
Silver Sand Beach Resorts,1,Neil Panorama,,Neil Island,8064,10070,12076,2000,2000,
Silver Sand Neil Resort,1,Neil Panorama,,Neil Island,10618,12624,14630,2000,2000,
Symphony Summer Sands,1,Casa Aqua,Premium,Neil Island,7400,9300,11400,2950,2950,
Symphony Summer Sands,1,Casa Air,Premium,Neil Island,6400,8300,10200,2950,2950,
Aquays Hotels & Resorts,1,Lagoon Vist,,Neil Island,6000,7800,9600,1800,1800,
Sea Shell Neil,1,Andaman Cottage,,Neil Island,6272,9812,13352,2360,2360,
Tango Beach Resort,1,Lagoon Suite Villa,,Neil Island,5488,6958,7808,1120,1120,
Symphony Summer Sands,1,Casa Earth,Budget,Neil Island,5400,7300,9200,2950,2950,
Aquays Hotels & Resorts,1,Paradise Nest,,Neil Island,5000,6800,8600,1800,1800,
TSG Aura,1,Seaside Room With Balcony,,Neil Island,5500,,,3100,3100,
Tango Beach Resort,1,Lagoon Room,,Neil Island,4032,5502,6468,1120,1120,
Aquays Hotels & Resorts,1,Neil Plaza,,Neil Island,5300,6300,8100,1800,1800,
Tango Beach Resort,1,Deluxe Room,,Neil Island,3360,4830,5796,1120,1120,
CS Empire Hotel,1,Super Deluxe Room,,Neil Island,2800,4100,5400,1000,1000,
NK Neil Eco Resort,1,Deluxe Cottage,,Neil Island,4000,,,1500,1500,
Tango Beach Resort,1,Premium Room,,Neil Island,2688,4158,5124,1120,1120,
CS Empire Hotel,1,Deluxe Room,,Neil Island,5500,6800,8100,1000,1000,
CS Empire Hotel,1,Standard Room,,Neil Island,1800,3100,4400,1000,1000,
Hotel Sentinel,1,Royal Suite,,Port Blair,20058,22064,24070,2000,2000,
Symphony Samudra,1,Garden Suite Villa,Premium,Port Blair,13250,15150,17050,2950,2950,
Symphony Samudra,1,Hill Villa,Premium,Port Blair,11250,13150,15050,2950,2950,
Hotel Sentinel,1,Luxury Room,,Port Blair,14158,16164,18170,2000,2000,
Sea Shell Marine Hill,1,Deluxe Room,,Port Blair,10384,13924,17464,2360,2360,
Symphony Samudra,1,Aqua Villa,Premium,Port Blair,9250,11150,13050,2950,2950,
Hotel Sentinel,1,Deluxe Room,,Port Blair,11798,13804,15810,2000,2000,
Sea Shell Marine Hill,1,Executive Room,,Port Blair,9440,12980,16520,2360,2360,
Symphony Samudra,1,Sky Villa,Premium,Port Blair,8250,10150,12050,2950,2950,
Hotel Sentinel,1,Premiere Room,,Port Blair,10618,12624,14630,2000,2000,
Sea Princess Beach Resorts,1,Andaman Cottage,,Port Blair,10618,12624,14630,2000,2000,
Sea Shell Marine Hill,1,Standard Room,,Port Blair,8064,11604,15144,2360,2360,
Symphony Samudra,1,Casa Tropicana,Premium,Port Blair,7250,9150,11050,2950,2950,
Peerless Resort,1,Single Cottage,Premium,Port Blair,7500,8000,8500,2700 on APAI,2700 on APAI,
Peerless Resort,1,Double Cottage,Premium,Port Blair,7500,8500,9500,,,
Sand Heaven,1,Super Deluxe,,Port Blair,4000,5400,6800,1400,1400,
Sea Princess Beach Resorts,1,Deluxe Room,,Port Blair,9438,11444,13450,2000,2000,
Sea Shell Minnie Bay,1,Club Room,,Port Blair,7168,10708,14248,2360,2360,
Sea Princess Beach Resorts,1,Standard Room,,Port Blair,8398,10404,12410,2000,2000,
Shompen,1,Family Room,Budget,Port Blair,5800,8000,10200,1344,1344,
Sea Shell Minnie Bay,1,Executive Room,,Port Blair,6272,9812,13352,2360,2360,
TSG Emerald View,1,Suite,,Port Blair,6100,,,1500,1500,
Peerless Resort,1,Single Superior Room,Premium,Port Blair,5000,5500,6000,2200 on MAP,2200 on MAP,
Peerless Resort,1,Double Superior Room,Premium,Port Blair,5000,6000,7000,Null,Null,
Sea Shell Minnie Bay,1,Standard Room,,Port Blair,5376,8916,12456,2360,2360,
TSG Grand,1,Deluxe Garden View,,Port Blair,5200,,,1500,1500,
TSG Grand,1,Deluxe ,,Port Blair,5100,,,1500,1500,
TSG Emerald View,1,Deluxe ,,Port Blair,4900,,,1500,1500,
TSG Grand,1,Cozy Garden View,,Port Blair,4900,,,1500,1500,
